datetime,household_id,hour,day,month,dayofweek,temperature,humidity,is_weekend,is_holiday,energy_kwh
2024-01-01 00:00:00,H01,0,1,1,0,13.0,66.1,0,0,0.312
2024-01-01 01:00:00,H01,1,1,1,0,15.74,64.5,0,0,0.2
2024-01-01 02:00:00,H01,2,1,1,0,16.17,60.3,0,0,0.066
2024-01-01 03:00:00,H01,3,1,1,0,18.28,62.0,0,0,0.476
2024-01-01 04:00:00,H01,4,1,1,0,16.45,65.9,0,0,0.608
2024-01-01 05:00:00,H01,5,1,1,0,17.76,62.9,0,0,0.106
2024-01-01 06:00:00,H01,6,1,1,0,18.97,68.0,0,0,0.28
2024-01-01 07:00:00,H01,7,1,1,0,19.63,64.1,0,0,0.831
2024-01-01 08:00:00,H01,8,1,1,0,17.8,68.0,0,0,1.087
2024-01-01 09:00:00,H01,9,1,1,0,25.25,47.4,0,0,0.911
2024-01-01 10:00:00,H01,10,1,1,0,25.8,57.5,0,0,1.789
2024-01-01 11:00:00,H01,11,1,1,0,22.09,57.7,0,0,1.395
2024-01-01 12:00:00,H01,12,1,1,0,24.23,57.4,0,0,1.786
2024-01-01 13:00:00,H01,13,1,1,0,23.49,55.0,0,0,2.171
2024-01-01 14:00:00,H01,14,1,1,0,23.06,60.1,0,0,1.867
2024-01-01 15:00:00,H01,15,1,1,0,19.68,52.9,0,0,2.222
2024-01-01 16:00:00,H01,16,1,1,0,21.37,60.9,0,0,2.125
2024-01-01 17:00:00,H01,17,1,1,0,22.37,55.7,0,0,2.26
2024-01-01 18:00:00,H01,18,1,1,0,24.61,55.7,0,0,2.989
2024-01-01 19:00:00,H01,19,1,1,0,19.42,62.0,0,0,2.517
2024-01-01 20:00:00,H01,20,1,1,0,17.72,61.5,0,0,0.973
2024-01-01 21:00:00,H01,21,1,1,0,15.54,66.4,0,0,2.27
2024-01-01 22:00:00,H01,22,1,1,0,14.59,58.8,0,0,2.079
2024-01-01 23:00:00,H01,23,1,1,0,16.88,61.2,0,0,0.912
2024-01-02 00:00:00,H01,0,2,1,1,15.52,65.8,0,0,-0.1
2024-01-02 01:00:00,H01,1,2,1,1,14.03,64.4,0,0,-0.878
2024-01-02 02:00:00,H01,2,2,1,1,13.83,64.8,0,0,0.45
2024-01-02 03:00:00,H01,3,2,1,1,16.17,66.3,0,0,-0.612
2024-01-02 04:00:00,H01,4,2,1,1,16.54,60.1,0,0,0.653
2024-01-02 05:00:00,H01,5,2,1,1,18.7,58.2,0,0,-0.137
2024-01-02 06:00:00,H01,6,2,1,1,19.59,62.5,0,0,-0.194
2024-01-02 07:00:00,H01,7,2,1,1,21.99,58.4,0,0,0.662
2024-01-02 08:00:00,H01,8,2,1,1,20.22,64.4,0,0,1.095
2024-01-02 09:00:00,H01,9,2,1,1,25.5,58.7,0,0,1.423
2024-01-02 10:00:00,H01,10,2,1,1,29.33,52.8,0,0,1.927
2024-01-02 11:00:00,H01,11,2,1,1,26.98,57.9,0,0,1.472
2024-01-02 12:00:00,H01,12,2,1,1,25.39,53.7,0,0,1.182
2024-01-02 13:00:00,H01,13,2,1,1,26.42,60.6,0,0,2.025
2024-01-02 14:00:00,H01,14,2,1,1,22.51,53.2,0,0,1.392
2024-01-02 15:00:00,H01,15,2,1,1,20.69,64.5,0,0,2.293
2024-01-02 16:00:00,H01,16,2,1,1,23.89,59.3,0,0,2.534
2024-01-02 17:00:00,H01,17,2,1,1,20.33,59.2,0,0,2.056
2024-01-02 18:00:00,H01,18,2,1,1,17.58,64.3,0,0,2.824
2024-01-02 19:00:00,H01,19,2,1,1,17.12,63.5,0,0,2.471
2024-01-02 20:00:00,H01,20,2,1,1,15.47,67.6,0,0,2.979
2024-01-02 21:00:00,H01,21,2,1,1,16.71,66.9,0,0,1.138
2024-01-02 22:00:00,H01,22,2,1,1,16.72,63.0,0,0,1.131
2024-01-02 23:00:00,H01,23,2,1,1,16.77,58.1,0,0,1.528
2024-01-03 00:00:00,H01,0,3,1,2,16.61,59.5,0,0,-0.265
2024-01-03 01:00:00,H01,1,3,1,2,16.53,61.4,0,0,0.432
2024-01-03 02:00:00,H01,2,3,1,2,15.3,66.7,0,0,0.413
2024-01-03 03:00:00,H01,3,3,1,2,15.34,60.5,0,0,-0.963
2024-01-03 04:00:00,H01,4,3,1,2,14.79,61.1,0,0,-0.822
2024-01-03 05:00:00,H01,5,3,1,2,20.69,67.0,0,0,0.771
2024-01-03 06:00:00,H01,6,3,1,2,19.68,59.7,0,0,-0.168
2024-01-03 07:00:00,H01,7,3,1,2,20.56,57.2,0,0,0.049
2024-01-03 08:00:00,H01,8,3,1,2,24.62,60.8,0,0,0.556
2024-01-03 09:00:00,H01,9,3,1,2,21.92,58.8,0,0,0.493
2024-01-03 10:00:00,H01,10,3,1,2,25.83,51.5,0,0,1.725
2024-01-03 11:00:00,H01,11,3,1,2,25.36,61.5,0,0,1.116
2024-01-03 12:00:00,H01,12,3,1,2,23.13,55.4,0,0,0.774
2024-01-03 13:00:00,H01,13,3,1,2,24.69,57.8,0,0,2.641
2024-01-03 14:00:00,H01,14,3,1,2,26.08,56.7,0,0,1.74
2024-01-03 15:00:00,H01,15,3,1,2,24.97,58.4,0,0,1.862
2024-01-03 16:00:00,H01,16,3,1,2,25.19,48.6,0,0,2.636
2024-01-03 17:00:00,H01,17,3,1,2,21.9,57.7,0,0,1.862
2024-01-03 18:00:00,H01,18,3,1,2,26.07,61.5,0,0,3.34
2024-01-03 19:00:00,H01,19,3,1,2,17.05,66.5,0,0,3.056
2024-01-03 20:00:00,H01,20,3,1,2,16.78,57.6,0,0,2.139
2024-01-03 21:00:00,H01,21,3,1,2,16.35,65.5,0,0,2.594
2024-01-03 22:00:00,H01,22,3,1,2,13.12,60.4,0,0,2.065
2024-01-03 23:00:00,H01,23,3,1,2,17.05,60.0,0,0,0.309
2024-01-04 00:00:00,H01,0,4,1,3,16.63,60.4,0,0,0.507
2024-01-04 01:00:00,H01,1,4,1,3,15.2,62.8,0,0,-0.48
2024-01-04 02:00:00,H01,2,4,1,3,14.71,66.7,0,0,0.462
2024-01-04 03:00:00,H01,3,4,1,3,13.77,64.2,0,0,0.352
2024-01-04 04:00:00,H01,4,4,1,3,16.08,61.5,0,0,0.103
2024-01-04 05:00:00,H01,5,4,1,3,20.04,63.8,0,0,-0.816
2024-01-04 06:00:00,H01,6,4,1,3,19.62,57.0,0,0,0.897
2024-01-04 07:00:00,H01,7,4,1,3,20.53,59.4,0,0,0.742
2024-01-04 08:00:00,H01,8,4,1,3,23.4,62.3,0,0,0.761
2024-01-04 09:00:00,H01,9,4,1,3,25.62,59.3,0,0,1.06
2024-01-04 10:00:00,H01,10,4,1,3,24.79,55.7,0,0,1.129
2024-01-04 11:00:00,H01,11,4,1,3,25.4,51.2,0,0,1.538
2024-01-04 12:00:00,H01,12,4,1,3,27.47,57.5,0,0,2.503
2024-01-04 13:00:00,H01,13,4,1,3,25.15,51.1,0,0,1.846
2024-01-04 14:00:00,H01,14,4,1,3,23.77,57.3,0,0,1.948
2024-01-04 15:00:00,H01,15,4,1,3,24.75,62.3,0,0,2.153
2024-01-04 16:00:00,H01,16,4,1,3,22.04,61.4,0,0,1.869
2024-01-04 17:00:00,H01,17,4,1,3,20.63,51.6,0,0,1.634
2024-01-04 18:00:00,H01,18,4,1,3,22.29,59.7,0,0,2.261
2024-01-04 19:00:00,H01,19,4,1,3,18.18,59.6,0,0,2.686
2024-01-04 20:00:00,H01,20,4,1,3,12.72,58.5,0,0,2.294
2024-01-04 21:00:00,H01,21,4,1,3,17.09,62.8,0,0,1.94
2024-01-04 22:00:00,H01,22,4,1,3,14.96,60.6,0,0,2.82
2024-01-04 23:00:00,H01,23,4,1,3,14.65,60.7,0,0,0.635
2024-01-05 00:00:00,H01,0,5,1,4,15.82,62.6,0,0,-0.092
2024-01-05 01:00:00,H01,1,5,1,4,14.87,60.1,0,0,-0.347
2024-01-05 02:00:00,H01,2,5,1,4,16.06,62.4,0,0,-0.59
2024-01-05 03:00:00,H01,3,5,1,4,12.82,61.2,0,0,0.814
2024-01-05 04:00:00,H01,4,5,1,4,15.8,59.9,0,0,0.548
2024-01-05 05:00:00,H01,5,5,1,4,21.23,63.4,0,0,-0.509
2024-01-05 06:00:00,H01,6,5,1,4,19.97,64.4,0,0,0.421
2024-01-05 07:00:00,H01,7,5,1,4,18.28,54.0,0,0,1.19
2024-01-05 08:00:00,H01,8,5,1,4,20.57,62.7,0,0,0.754
2024-01-05 09:00:00,H01,9,5,1,4,21.75,64.7,0,0,0.741
2024-01-05 10:00:00,H01,10,5,1,4,24.51,64.0,0,0,2.501
2024-01-05 11:00:00,H01,11,5,1,4,24.05,60.1,0,0,0.659
2024-01-05 12:00:00,H01,12,5,1,4,23.81,53.9,0,0,3.13
2024-01-05 13:00:00,H01,13,5,1,4,24.84,60.1,0,0,2.106
2024-01-05 14:00:00,H01,14,5,1,4,25.19,53.9,0,0,2.866
2024-01-05 15:00:00,H01,15,5,1,4,23.07,57.1,0,0,1.453
2024-01-05 16:00:00,H01,16,5,1,4,21.47,60.8,0,0,1.604
2024-01-05 17:00:00,H01,17,5,1,4,20.54,56.5,0,0,1.411
2024-01-05 18:00:00,H01,18,5,1,4,20.61,55.1,0,0,2.423
2024-01-05 19:00:00,H01,19,5,1,4,18.69,62.5,0,0,2.614
2024-01-05 20:00:00,H01,20,5,1,4,18.88,68.0,0,0,2.702
2024-01-05 21:00:00,H01,21,5,1,4,14.39,67.8,0,0,1.386
2024-01-05 22:00:00,H01,22,5,1,4,14.27,65.7,0,0,1.98
2024-01-05 23:00:00,H01,23,5,1,4,16.56,65.6,0,0,1.067
2024-01-06 00:00:00,H01,0,6,1,5,13.56,65.8,1,0,0.927
2024-01-06 01:00:00,H01,1,6,1,5,17.66,63.0,1,0,-0.069
2024-01-06 02:00:00,H01,2,6,1,5,18.2,64.5,1,0,-0.177
2024-01-06 03:00:00,H01,3,6,1,5,18.97,55.0,1,0,-0.046
2024-01-06 04:00:00,H01,4,6,1,5,15.91,62.8,1,0,0.134
2024-01-06 05:00:00,H01,5,6,1,5,18.84,60.3,1,0,0.795
2024-01-06 06:00:00,H01,6,6,1,5,19.11,60.8,1,0,-0.295
2024-01-06 07:00:00,H01,7,6,1,5,22.96,56.7,1,0,0.092
2024-01-06 08:00:00,H01,8,6,1,5,25.57,59.3,1,0,0.143
2024-01-06 09:00:00,H01,9,6,1,5,25.11,54.2,1,0,1.283
2024-01-06 10:00:00,H01,10,6,1,5,24.35,55.7,1,0,1.853
2024-01-06 11:00:00,H01,11,6,1,5,24.17,55.3,1,0,0.829
